title;genre;description;director;duration;rating;image;trailerURL;streamingLink;streamingPrice
Kot w butach: Ostatnie życzenie;Przygodowy, Komedia;"Kot w Butach odkryje, że jest pasjonatem przygód. Wykorzystał już wszystkie swoje osiem z dziewięciu istnień. Postanawia wyruszyć w podróż, aby znaleźć mityczne ""Ostatnie Życzenie"" i przywrócić swoje dziewięć żyć.";Joel Crawford;1g. 42m.;3.9;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2Fkot_w_butach.jpg?alt=media&token=43df0a7b-476c-461f-9525-8e7e4c440cad;https://www.youtube.com/watch?v=mGmNFtrIK-8;https://www.youtube.com/watch?v=mGmNFtrIK-8;20
Wystrzałowe wesele;Akcja, Komedia;Darcy i Tom planują w końcu sformalizować swój związek, ale zamieszanie wokół przygotowań do ślubu i wesela wyssie z nich całą energię i entuzjazm. Swoje trzy grosze dołożą też Carol, matka pana młodego, oraz Sean, były chłopak Darcy. Na domiar złego, na uroczystości, która zostanie zorganizowana na rajskiej wyspie, pojawią się nieoczekiwani goście. I tak przysięga nie opuszczę cię aż do śmierci nabierze nowego wymiaru.;Jason Moore;1g. 40m.;3.15;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2Fwystrzalowe_wesele.jpg?alt=media&token=1af2c83c-dfe5-4755-8ec3-c6932a2ef38b;https://www.youtube.com/watch?v=LArIaSnorX0;https://www.youtube.com/watch?v=LArIaSnorX0;10
Fabelmanowie;Dramat;Steven Spielberg wraca do czasów swojego dzieciństwa, by opowiedzieć o dorastaniu Sammy’ego Fabelmana, wrażliwego nastolatka, wielkiego miłośnika kina i początkującego filmowca. Sammy przypadkiem poznaje dramatyczną rodzinną tajemnicę i odkrywa przy okazji, że kino w niezwykły sposób pomaga nam odkrywać prawdę o naszych bliskich i o nas samych.;Steven Spielberg;2g. 31m.;3.85;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2FFabelmanowie.jpg?alt=media&token=efc6192b-8b23-4cd2-9f6a-3b8c7241e40c;https://www.youtube.com/watch?v=AYCsdfF64bs;https://www.youtube.com/watch?v=AYCsdfF64bs;22
Rambo: Pierwsza krew;Akcja;John Rambo, weteran wojny w Wietnamie podróżuje od miasta do miasta szukając swych kolegów z wojska. Kiedy po prośbie szeryfa Teasle'ego nie chce opuścić miasteczka, zostaje aresztowany. Wkrótce jednak ucieka i jest gotów prowadzić samotną wojną. Jedyną osobą, która może go powstrzymać to jego dawny dowódca Samuel Trautman...;Ted Kotcheff;1g. 33m.;4.21;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2FRambo_Pierwsza_krew.jpg?alt=media&token=d369c8ee-6e85-4e88-afe5-ee815f261d95;https://www.youtube.com/watch?v=C7RXgeZ7fTM;https://www.youtube.com/watch?v=C7RXgeZ7fTM;20
Rambo II;Akcja, Przygodowy;John Rambo (Sylvester Stallone) to były komandos w „ zielonych beretach” walczący w Wietnamie. Po powrocie do kraju wplątuje się w awanturę z policją i trafia do więzienia. Wyciąga go stamtąd dawny dowódca, by powierzyć mu specjalną misję. Ma odnaleźć Amerykańskich jeńców wojennych uwięzionych w Wietnamie. Jeśli dobrze wypełni zadanie, kara którą otrzymał zostanie mu darowana.;George P. Cosmatos;1g. 36m.;3.25;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2FRambo_II.jpg?alt=media&token=46092564-8b1d-4c35-a93f-1dc8b1336752;https://www.youtube.com/watch?v=fBTytAK9ibk;https://www.youtube.com/watch?v=fBTytAK9ibk;32
Rambo III;Wojenny, Akcja;Dawny dowódca i przyjaciel Johna Rambo z czasów wojny w Wietnamie pułkownik Trautman wyrusza z tajną misją do Afganistanu. Wkrótce nadchodzi wiadomość, że został on pojmany i uwięziony w radzieckiej bazie wojskowej. Działania dyplomatyczne na rzecz jego uwolnienia nie przynoszą rezultatów. Oficjalna misja wojskowa jest oczywiście wykluczona. Rambo decyduje się sam wyruszyć na ratunek dowódcy.;Peter MacDonald;1g. 42m;3.4;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2FRambo_III.jpg?alt=media&token=e9313286-59b8-439b-b4cc-3bd936867719;https://www.youtube.com/watch?v=IQt9bDOGTgg;https://www.youtube.com/watch?v=IQt9bDOGTgg;34
John Rambo;Akcja, Wojenny;John Rambo prowadzi teraz spokojne życie w północnej Tajlandii, zajmując się głównie rybołówstwem i łapaniem jadowitych węży. Pewnego dnia przewozi na drugą stronę rzeki grupę chrześcijańskich misjonarzy, podróżujących z dostawą lekarstw i żywności do ogarniętej wojną domową Birmy. Dwa tygodnie później okazuje się, że wkrótce po dotarciu na miejsce misjonarze wpadają w ręce zbuntowanych żołnierzy pod wodzą sadystycznego majora Pa Tee Tint. Miejscowy pastor organizuje grupę najemników, którzy mają odbić uwięzionych. Po raz kolejny niezbędna jest pomoc Johna Rambo, który nie zawaha się zaryzykować własnego życia w jednej z najniebezpieczniejszych misji, w jakiej zdarzyło mu się brać udział. Rozpoczyna się przeprawa przez piekło na ziemi.;Sylvester Stallone;1g. 31m.;3.45;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2FJohn_Rambo.jpg?alt=media&token=49b2585b-ce90-46a0-b814-f9f6792da086;https://www.youtube.com/watch?v=XbRvf6W8_C8;https://www.youtube.com/watch?v=XbRvf6W8_C8;35
Rambo: Ostatnia krew;Akcja, Przygodowy;John Rambo musi zmierzyć się z groźnym meksykańskim kartelem.;Adrian Grunberg;1g. 29m.;3.05;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2FRambo_ostatnia_krew.jpg?alt=media&token=51bbdad5-cc27-45bb-8063-afe618f2d743;https://www.youtube.com/watch?v=YK65KWFNjzw;https://www.youtube.com/watch?v=YK65KWFNjzw;22
Gra w szachy;Animowany, Familijny;W tym krótkometrażowym filmiku ze stajni Pixara, oglądamy rozgrywkę szachową. Prowadzi ją staruszek imieniem Geri. Jednak najciekawsze jest to, że mężczyzna, prowadzi ją sam ze sobą, wcielając się w dwie, bardzo od siebie różne, postacie.;Jan Pinkava;4m.;3.4;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2Fgra_w_szachy.jpg?alt=media&token=3e78521a-4f2e-4481-9fae-4c784c5a5402;https://www.youtube.com/watch?v=uMVtpCPx8ow;https://www.youtube.com/watch?v=uMVtpCPx8ow;38
Avatar;Akcja, Sci-Fi;Po zabójstwie brata Jake Sully dostaje szansę, żeby lecieć za niego na obcą planetę - Pandorę. Na miejscu, dzięki przełomowej technologii jego umysł zostaje połączony z avatarem - specjalnie wyhodowanym ciałem przedstawiciela inteligentnej rasy żyjącej na planecie. Przypadkowo udaje mu się dołączyć do jednego z plemion i dzięki temu poznać wszystkie sekrety tubylców. Niestety zachłanni ludzie wykorzystawszy je, postanawiają zaatakować i zniszczyć siedzibę plemienia, by zdobyć kryjący się pod nią cenny minerał. Jake próbuje zapobiec konfrontacji.;James Cameron;2g. 42m.;3.9;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2Favatar.jpg?alt=media&token=2aedc6f0-c640-4e57-9b41-f91806d12a51;https://www.youtube.com/watch?v=_LXWCknsDt0;https://www.youtube.com/watch?v=_LXWCknsDt0;26
